dataset,datafile,filter_function,processing time
small,"barbell_graph(3,8).json",fv,0.01100611686706543
small,"barbell_graph(3,8).json",fv_norm,0.013370037078857422
small,"barbell_graph(3,8).json",den_0_5,0.0007050037384033203
small,"barbell_graph(3,8).json",ev_1,0.001956939697265625
small,"barbell_graph(3,8).json",ev_2,0.001956939697265625
small,"barbell_graph(3,8).json",ev_3,0.001956939697265625
small,"barbell_graph(3,8).json",ev_4,0.001956939697265625
small,"barbell_graph(3,8).json",ev_5,0.001956939697265625
small,"barbell_graph(3,8).json",ev_norm_1,0.0048830509185791016
small,"barbell_graph(3,8).json",ev_norm_2,0.0048830509185791016
small,"barbell_graph(3,8).json",ev_norm_3,0.0048830509185791016
small,"barbell_graph(3,8).json",ev_norm_4,0.0048830509185791016
small,"barbell_graph(3,8).json",ev_norm_5,0.0048830509185791016
small,"w_chordal_cycle_graph[90].json",agd,0.0591130256652832
small,"w_chordal_cycle_graph[90].json",ecc,0.04133892059326172
small,"w_chordal_cycle_graph[90].json",pr_0_85,0.030831098556518555
small,"w_chordal_cycle_graph[90].json",fv,0.10163688659667969
small,"w_chordal_cycle_graph[90].json",fv_norm,0.02128005027770996
small,"w_chordal_cycle_graph[90].json",den_0_5,0.04464411735534668
small,"w_chordal_cycle_graph[90].json",ev_1,0.008419036865234375
small,"w_chordal_cycle_graph[90].json",ev_2,0.008419036865234375
small,"w_chordal_cycle_graph[90].json",ev_3,0.008419036865234375
small,"w_chordal_cycle_graph[90].json",ev_4,0.008419036865234375
small,"w_chordal_cycle_graph[90].json",ev_5,0.008419036865234375
small,"w_chordal_cycle_graph[90].json",ev_norm_1,0.010339021682739258
small,"w_chordal_cycle_graph[90].json",ev_norm_2,0.010339021682739258
small,"w_chordal_cycle_graph[90].json",ev_norm_3,0.010339021682739258
small,"w_chordal_cycle_graph[90].json",ev_norm_4,0.010339021682739258
small,"w_chordal_cycle_graph[90].json",ev_norm_5,0.010339021682739258
small,"planted_partition_graph.json",agd,0.00021314620971679688
small,"planted_partition_graph.json",ecc,0.0002701282501220703
small,"planted_partition_graph.json",pr_0_85,0.0019431114196777344
small,"planted_partition_graph.json",fv,0.024023056030273438
small,"planted_partition_graph.json",fv_norm,0.02123117446899414
small,"planted_partition_graph.json",den_0_5,0.00023889541625976562
small,"planted_partition_graph.json",ev_1,0.00940704345703125
small,"planted_partition_graph.json",ev_2,0.00940704345703125
small,"planted_partition_graph.json",ev_3,0.00940704345703125
small,"planted_partition_graph.json",ev_4,0.00940704345703125
small,"planted_partition_graph.json",ev_5,0.00940704345703125
small,"planted_partition_graph.json",ev_norm_1,0.011517047882080078
small,"planted_partition_graph.json",ev_norm_2,0.011517047882080078
small,"planted_partition_graph.json",ev_norm_3,0.011517047882080078
small,"planted_partition_graph.json",ev_norm_4,0.011517047882080078
small,"planted_partition_graph.json",ev_norm_5,0.011517047882080078
small,"dorogovtsev_goltsev_mendes_graph(3).json",agd,0.0009951591491699219
small,"dorogovtsev_goltsev_mendes_graph(3).json",ecc,0.0012521743774414062
small,"dorogovtsev_goltsev_mendes_graph(3).json",pr_0_85,0.0030350685119628906
small,"dorogovtsev_goltsev_mendes_graph(3).json",fv,0.020903825759887695
small,"dorogovtsev_goltsev_mendes_graph(3).json",fv_norm,0.01616835594177246
small,"dorogovtsev_goltsev_mendes_graph(3).json",den_0_5,0.0010650157928466797
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_1,0.0026688575744628906
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_2,0.0026688575744628906
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_3,0.0026688575744628906
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_4,0.0026688575744628906
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_5,0.0026688575744628906
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_norm_1,0.005335092544555664
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_norm_2,0.005335092544555664
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_norm_3,0.005335092544555664
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_norm_4,0.005335092544555664
small,"dorogovtsev_goltsev_mendes_graph(3).json",ev_norm_5,0.005335092544555664
small,"icosahedral_graph.json",agd,0.0007481575012207031
small,"icosahedral_graph.json",ecc,0.0008859634399414062
small,"icosahedral_graph.json",pr_0_85,0.0014798641204833984
small,"icosahedral_graph.json",fv,0.015132904052734375
small,"icosahedral_graph.json",fv_norm,0.01524496078491211
small,"icosahedral_graph.json",den_0_5,0.000823974609375
small,"icosahedral_graph.json",ev_1,0.007112979888916016
small,"icosahedral_graph.json",ev_2,0.007112979888916016
