datafile,df_nodes,filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
"bio-diseasome.json",516,pr_0_85,2,modularity,connectivity,false,56,72,0.081
"bio-diseasome.json",516,pr_0_85,2,async_label_prop,connectivity,false,116,163,0.0697
"bio-diseasome.json",516,pr_0_85,20,connected_components,connectivity,false,337,551,0.0207
"bio-diseasome.json",516,pr_0_85,20,modularity,connectivity,false,337,551,0.0496
"bio-diseasome.json",516,pr_0_85,20,async_label_prop,connectivity,false,338,553,0.0346
"bio-diseasome.json",516,fv,2,connected_components,connectivity,false,5,4,0.0087
"bio-diseasome.json",516,fv,2,modularity,connectivity,false,29,41,0.1092
"bio-diseasome.json",516,fv,2,async_label_prop,connectivity,false,94,127,0.1065
"bio-diseasome.json",516,fv,20,connected_components,connectivity,false,30,37,0.0115
"bio-diseasome.json",516,fv,20,modularity,connectivity,false,62,87,0.0858
"bio-diseasome.json",516,fv,20,async_label_prop,connectivity,false,100,141,0.0715
"bio-diseasome.json",516,fv_norm,2,connected_components,connectivity,false,32,31,0.0097
"bio-diseasome.json",516,fv_norm,2,modularity,connectivity,false,51,61,0.1057
"bio-diseasome.json",516,fv_norm,2,async_label_prop,connectivity,false,110,142,0.0872
"bio-diseasome.json",516,fv_norm,20,connected_components,connectivity,false,251,339,0.0181
"bio-diseasome.json",516,fv_norm,20,modularity,connectivity,false,257,357,0.0541
"bio-diseasome.json",516,fv_norm,20,async_label_prop,connectivity,false,263,367,0.044
"bio-diseasome.json",516,den_0_5,2,connected_components,connectivity,false,12,11,0.0088
"bio-diseasome.json",516,den_0_5,2,modularity,connectivity,false,36,56,0.0865
"bio-diseasome.json",516,den_0_5,2,async_label_prop,connectivity,false,103,145,0.0722
"bio-diseasome.json",516,den_0_5,20,connected_components,connectivity,false,306,500,0.0197
"bio-diseasome.json",516,den_0_5,20,modularity,connectivity,false,306,500,0.05
"bio-diseasome.json",516,den_0_5,20,async_label_prop,connectivity,false,308,503,0.0369
"random_lobster(100,0_6,0_4).json",596,agd,2,connected_components,connectivity,false,8,7,0.0063
"random_lobster(100,0_6,0_4).json",596,agd,2,modularity,connectivity,false,39,38,0.0509
"random_lobster(100,0_6,0_4).json",596,agd,2,async_label_prop,connectivity,false,173,172,0.0215
"random_lobster(100,0_6,0_4).json",596,agd,20,connected_components,connectivity,false,197,196,0.011
"random_lobster(100,0_6,0_4).json",596,agd,20,modularity,connectivity,false,231,230,0.0408
"random_lobster(100,0_6,0_4).json",596,agd,20,async_label_prop,connectivity,false,264,263,0.0226
"random_lobster(100,0_6,0_4).json",596,ecc,2,connected_components,connectivity,false,7,6,0.0068
"random_lobster(100,0_6,0_4).json",596,ecc,2,modularity,connectivity,false,38,37,0.0499
"random_lobster(100,0_6,0_4).json",596,ecc,2,async_label_prop,connectivity,false,180,179,0.0224
"random_lobster(100,0_6,0_4).json",596,ecc,20,connected_components,connectivity,false,111,110,0.0102
"random_lobster(100,0_6,0_4).json",596,ecc,20,modularity,connectivity,false,166,167,0.0455
"random_lobster(100,0_6,0_4).json",596,ecc,20,async_label_prop,connectivity,false,219,222,0.024
"random_lobster(100,0_6,0_4).json",596,pr_0_85,2,connected_components,connectivity,false,159,158,0.0088
"random_lobster(100,0_6,0_4).json",596,pr_0_85,2,modularity,connectivity,false,166,165,0.0428
"random_lobster(100,0_6,0_4).json",596,pr_0_85,2,async_label_prop,connectivity,false,269,268,0.0214
"random_lobster(100,0_6,0_4).json",596,pr_0_85,20,connected_components,connectivity,false,567,566,0.0169
"random_lobster(100,0_6,0_4).json",596,pr_0_85,20,modularity,connectivity,false,567,566,0.0235
"random_lobster(100,0_6,0_4).json",596,pr_0_85,20,async_label_prop,connectivity,false,568,567,0.018
"random_lobster(100,0_6,0_4).json",596,fv,2,connected_components,connectivity,false,2,1,0.0058
"random_lobster(100,0_6,0_4).json",596,fv,2,modularity,connectivity,false,34,33,0.0502
"random_lobster(100,0_6,0_4).json",596,fv,2,async_label_prop,connectivity,false,176,175,0.0216
"random_lobster(100,0_6,0_4).json",596,fv,20,connected_components,connectivity,false,20,19,0.0081
"random_lobster(100,0_6,0_4).json",596,fv,20,modularity,connectivity,false,103,102,0.0531
