record #,subjectId,age,gender,vision,vis,secondsOnPage,userSelection,img1,img2,img3,img4,baseline
164,9,,,,,2.461,Option 4,user_dorogovtsev_goltsev_mendes_graph(5)_den_0_5_10_modularity.png,user_caltech_pr_0_85_10_modularity.png,"user_random_lobster(100,0_6,0_4)_agd_10_modularity.png","user_random_lobster(100,0_6,0_4)_den_0_5_10_modularity.png","user_random_lobster(100,0_6,0_4).png"
173,9,,,,,4.549,Option 3,"user_watts_strogatz_graph(100,5,0.05)_pr_0_85_20_connected_components.png","user_connected_caveman_graph(15,30)_agd_20_connected_components.png",user_bio-diseasome_fv_20_connected_components.png,"user_connected_caveman_graph(15,30)_ecc_20_connected_components.png","user_connected_caveman_graph(15,30).png"
178,9,,,,,3.075,Option 1,user_bcsstk22_den_0_5_6_async_label_prop.png,user_bcsstk_den_0_5_6_async_label_prop.png,user_bcsstk22_agd_6_async_label_prop.png,"user_random_lobster(100,0_6,0_4)_fv_6_async_label_prop.png",user_bcsstk22.png
181,9,,,,,1.974,Option 2,user_bn-mouse-visual-cortex-2_den_0_5_20_connected_components.png,user_hic_5k_net_6_pr_0_85_20_connected_components.png,user_hic_5k_net_6_ecc_20_connected_components.png,"user_ring_of_cliques(6,70)_pr_0_85_20_connected_components.png",user_hic_5k_net_6.png
187,9,,,,,4.255,Unsure,"user_random_lobster(100,0_6,0_4)_ecc_10_connected_components.png",user_caltech_pr_0_85_10_connected_components.png,user_bio-celegans_pr_0_85_10_connected_components.png,"user_random_lobster(100,0_6,0_4)_agd_10_connected_components.png","user_random_lobster(100,0_6,0_4).png"
195,9,,,,,2.879,Option 1,user_bio-celegans_agd_20_modularity.png,user_dorogovtsev_goltsev_mendes_graph(5)_fv_20_modularity.png,"user_random_lobster(100,0_6,0_4)_agd_20_modularity.png",user_bio-celegans_pr_0_85_20_modularity.png,user_bio-celegans.png
197,9,,,,,1.764,Option 2,"user_connected_caveman_graph(15,30)_pr_0_85_10_async_label_prop.png","user_random_lobster(100,0_6,0_4)_den_0_5_10_async_label_prop.png",user_circular_ladder_graph(100)_den_0_5_10_async_label_prop.png,user_circular_ladder_graph(100)_pr_0_85_10_async_label_prop.png,user_circular_ladder_graph(100).png
204,9,,,,,5.101,Option 3,user_bcsstk_fv_6_connected_components.png,user_dorogovtsev_goltsev_mendes_graph(5)_ecc_6_connected_components.png,user_bcsstk_den_0_5_6_connected_components.png,user_bn-mouse-visual-cortex-2_pr_0_85_6_connected_components.png,user_bcsstk.png
210,9,,,,,1.678,Option 2,"user_ring_of_cliques(6,70)_ecc_10_connected_components.png",user_map_of_science_pr_0_85_10_connected_components.png,user_dorogovtsev_goltsev_mendes_graph(5)_agd_10_connected_components.png,user_map_of_science_ecc_10_connected_components.png,user_map_of_science.png
217,9,,,,,2.282,Option 2,user_bio-celegans_fv_20_async_label_prop.png,user_bcsstk20_agd_20_async_label_prop.png,user_bcsstk20_ecc_20_async_label_prop.png,user_usair97_fv_20_async_label_prop.png,user_bcsstk20.png
223,9,,,,,2.511,Option 1,"user_ring_of_cliques(6,70)_agd_10_modularity.png",user_map_of_science_pr_0_85_10_modularity.png,"user_connected_caveman_graph(15,30)_fv_10_modularity.png","user_connected_caveman_graph(15,30)_agd_10_modularity.png","user_connected_caveman_graph(15,30).png"
226,9,,,,,4.344,Option 3,user_movies_fv_30_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_pr_0_85_30_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_ecc_30_async_label_prop.png,user_circular_ladder_graph(100)_den_0_5_30_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5).png
233,9,,,,,3.357,Option 1,user_movies_agd_10_connected_components.png,"user_watts_strogatz_graph(100,5,0.05)_agd_10_connected_components.png",user_dorogovtsev_goltsev_mendes_graph(5)_ecc_10_connected_components.png,user_movies_fv_10_connected_components.png,user_movies.png
240,9,,,,,4.648,Option 4,user_usair97_ecc_6_modularity.png,user_dorogovtsev_goltsev_mendes_graph(5)_ecc_6_modularity.png,user_usair97_agd_6_modularity.png,user_enron-email_agd_6_modularity.png,user_usair97.png
243,9,,,,,2.644,Unsure,user_circular_ladder_graph(100)_den_0_5_6_connected_components.png,user_bcsstk22_ecc_6_connected_components.png,user_movies_agd_6_connected_components.png,user_movies_pr_0_85_6_connected_components.png,user_movies.png
250,9,,,,,4.313,Option 1,"user_watts_strogatz_graph(100,5,0.05)_den_0_5_20_modularity.png",user_bn-mouse-visual-cortex-2_fv_20_modularity.png,"user_watts_strogatz_graph(100,5,0.05)_fv_20_modularity.png",user_map_of_science_agd_20_modularity.png,"user_watts_strogatz_graph(100,5,0.05).png"
255,9,,,,,3.585,Option 4,user_bio-celegans_den_0_5_10_async_label_prop.png,"user_ring_of_cliques(6,70)_pr_0_85_10_async_label_prop.png",user_caltech_fv_10_async_label_prop.png,user_bio-celegans_ecc_10_async_label_prop.png,user_bio-celegans.png
260,9,,,,,2.382,Unsure,user_enron-email_pr_0_85_10_async_label_prop.png,user_usair97_agd_10_async_label_prop.png,user_enron-email_den_0_5_10_async_label_prop.png,user_caltech_fv_10_async_label_prop.png,user_enron-email.png
266,9,,,,,1.755,Option 3,user_dorogovtsev_goltsev_mendes_graph(5)_den_0_5_10_async_label_prop.png,user_hic_5k_net_6_agd_10_async_label_prop.png,user_bcsstk22_den_0_5_10_async_label_prop.png,user_bcsstk22_ecc_10_async_label_prop.png,user_bcsstk22.png
271,9,,,,,3.992,Option 2,user_hic_5k_net_6_agd_6_connected_components.png,user_map_of_science_ecc_6_connected_components.png,user_bcsstk_agd_6_connected_components.png,user_hic_5k_net_6_den_0_5_6_connected_components.png,user_hic_5k_net_6.png
279,9,,,,,4.64,Option 4,"user_watts_strogatz_graph(100,5,0.05)_den_0_5_20_async_label_prop.png","user_barbell_graph(50,20)_den_0_5_20_async_label_prop.png","user_watts_strogatz_graph(100,5,0.05)_pr_0_85_20_async_label_prop.png",user_enron-email_pr_0_85_20_async_label_prop.png,"user_watts_strogatz_graph(100,5,0.05).png"
